,Departamento,Municipality,Grid,MPIO_CCNCT,Coca Cultivation Area,Base Coca,Total Erradication,Predicted
72556,NORTE DE SANTANDER,TIBÚ,22_51_3_21,54810,21.507367478692,14152792.0,21832.28,25.020419716835022
29458,CAUCA,MERCADERES,106_33_1_4,19450,0.36,79350.0,0.0,0.5949000048637391
37972,CÓRDOBA,TIERRALTA,25_74_3_22,23807,11.62617167389,800461.0,1210.725,9.287373974323273
88452,VICHADA,CUMARIBO,74_44_4_14,99773,1.547578125,2381018.0,2557.15,1.632240927219391
55152,META,PUERTO RICO,96_39_3_4,50590,1.23,0.0,1472.64,0.980239687860012
57103,META,VISTAHERMOSA,95_9_4_18,50711,0.97,0.0,8859.17,6.835200023651123
30752,CAUCA,SUÁREZ,78_97_3_11,19780,9.21325250495,620481.0,0.0,17.8317068195343
77867,PUTUMAYO,PUERTO GUZMÁN,121_32_2_1,86571,62.05987375829,470555.0,20790.06,46.64448021888733
1959,ANTIOQUIA,CÁCERES,26_75_3_21,5120,1.934888136461,718773.0,0.0,2.611587444227189
47029,GUAVIARE,SAN JOSÉ DEL GUAVIARE,97_57_2_23,95001,4.6031766,2384515.0,26572.895,8.625677111148834
45344,GUAVIARE,SAN JOSÉ DEL GUAVIARE,96_87_2_19,95001,15.817647050000001,2109394.0,23461.315000000002,5.3383573782444
70415,NORTE DE SANTANDER,SARDINATA,29_1_3_3,54720,8.138267581988,3336721.0,0.0,21.302679262161256
39248,GUAVIARE,CALAMAR,111_14_3_15,95015,2.34,1944139.0,6609.9,5.080669354200364
557,ANTIOQUIA,AMALFI,33_37_4_11,5031,2.25,5754.0,363.71000000000004,2.437626078128815
82454,PUTUMAYO,VILLAGARZÓN,120_18_3_10,86885,0.81,0.0,796.01,0.9670000046491622
48259,LA GUAJIRA,DIBULLA,4_93_1_11,44090,1.8,0.0,0.0,1.284000023305416
77214,PUTUMAYO,PUERTO CAICEDO,121_51_4_6,86569,4.733023398752,4294250.0,5021.3832,6.644995987415314
31314,CAUCA,TIMBIQUÍ,91_37_4_17,19809,1.89,0.0,0.0,0.5107521872967482
34642,CHOCÓ,RIOSUCIO,31_21_2_3,27615,2.1016,199346.0,1065.044,4.347225085496903
83400,SANTANDER,BOLÍVAR,44_59_2_11,68101,0.99,0.0,1067.2,1.068299997150898
42364,GUAVIARE,EL RETORNO,98_85_4_6,95025,2.87828130625,1665161.0,0.0,2.612428206205368
70969,NORTE DE SANTANDER,TEORAMA,21_76_4_8,54800,27.50076931763,1969383.0,0.0,32.064114513397215
65457,NARIÑO,SAN ANDRÉS DE TUMACO,104_57_3_20,52835,42.86265116671,22717839.0,149423.58,75.9888177871704
4720,ANTIOQUIA,SAN FRANCISCO,43_86_2_24,5652,2.91,3.0,127.64999999999999,2.815427942276001
17205,CAQUETÁ,CARTAGENA DEL CHAIRÁ,122_28_1_22,18150,4.65,0.0,5199.74,5.79290010035038
19966,CAQUETÁ,EL PAUJÍL,108_76_1_22,18256,18.40878658156,976768.0,966.8530000000001,14.647820620536804
42020,GUAVIARE,EL RETORNO,97_95_3_12,95025,11.04585625,1623872.0,31346.89,11.383120136260986
66987,NARIÑO,SANTA BÁRBARA,91_43_2_18,52696,0.45,0.0,943.95,0.45075510919094086
89923,VICHADA,CUMARIBO,85_28_4_5,99773,15.99,2931074.0,13708.14,12.257211638689041
8702,ARAUCA,ARAUQUITA,37_78_4_22,81065,0.27,0.0,2061.0499999999997,1.8779999804496765
8559,ARAUCA,ARAUQUITA,37_75_3_21,81065,14.99,0.0,7122.75,6.303899953365326
41222,GUAVIARE,EL RETORNO,97_78_4_25,95025,45.72030803,4386396.0,30875.173,38.68062196731567
62080,NARIÑO,MAGÜÍ,105_2_3_25,52427,0.5945,26525.0,9682.21,0.8223986807465553
21738,CAQUETÁ,PUERTO RICO,108_17_3_5,18592,2.16,0.0,903.77,1.8108000564575195
10478,BOLÍVAR,ARENAL,27_6_4_11,13042,4.12,0.0,0.0,5.3644999594986436
90947,VICHADA,LA PRIMAVERA,62_75_1_23,99524,6.391,12943.0,192.35,7.475872851610184
38467,GUAINÍA,INÍRIDA,101_12_1_9,94001,0.63,93528.0,0.0,2.9136589938402175
48580,MAGDALENA,SANTA MARTA,3_100_2_9,47001,10.49,413357.0,3324.03,10.53154503941536
51175,META,MAPIRIPÁN,83_93_3_13,50325,0.98,0.0,3057.5,1.196900029182434
27106,CAUCA,EL TAMBO,92_32_1_4,19256,42.48479069954,1573270.0,2043.399,41.42555004119873
938,ANTIOQUIA,ANORÍ,33_24_4_20,5040,9.25,68649.0,6688.64,6.035018811225891
47816,GUAVIARE,SAN JOSÉ DEL GUAVIARE,98_24_1_6,95001,28.552500359863,10236518.0,55265.763,50.52068153381347
5553,ANTIOQUIA,SEGOVIA,34_22_2_9,5736,13.05,0.0,2259.55,9.64480013370514
26296,CAUCA,ARGELIA,92_71_1_19,19050,39.65701974895,135359.0,2155.15,38.941939910650255
754,ANTIOQUIA,AMALFI,33_58_1_13,5031,0.36,0.0,690.97,1.0083999985456467
38286,CÓRDOBA,TIERRALTA,25_91_2_5,23807,1.17,4340.0,1031.46,2.58659996509552
66947,NARIÑO,SAN ANDRÉS DE TUMACO,90_87_1_6,52835,0.72,1370826.0,18224.14,0.7417520190775394
64023,NARIÑO,ROBERTO PAYÁN,90_88_4_21,52621,4.34218827324,376805.0,2093.54,4.677738285176456
68701,NORTE DE SANTANDER,EL TARRA,21_77_2_4,54250,23.9465252524,3337522.0,838.92,34.06708449363708
